source,target,value
"0: [0, 0][0, 0][0, 0]","0: [0, 0][0, 0][0, 0]",5.0
"1: [0, +][0, 0][0, 0]","8: [+, +][0, +][0, +]",5.0
"2: [0, 0][+, -][+, -]","0: [0, 0][0, 0][0, 0]",5.0
"3: [0, +][+, -][+, -]","8: [+, +][0, +][0, +]",5.0
"4: [0, 0][max, -][max, -]","2: [0, 0][+, -][+, -]",5.0
"5: [0, +][max, -][max, -]","11: [+, +][+, 0][+, 0]",5.0
"5: [0, +][max, -][max, -]","14: [+, +][+, -][+, -]",5.0
"5: [0, +][max, -][max, -]","17: [+, +][+, +][+, +]",5.0
"6: [+, 0][0, +][0, +]","9: [+, 0][+, 0][+, 0]",5.0
"6: [+, 0][0, +][0, +]","12: [+, 0][+, -][+, -]",5.0
"6: [+, 0][0, +][0, +]","15: [+, 0][+, +][+, +]",5.0
"8: [+, +][0, +][0, +]","11: [+, +][+, 0][+, 0]",5.0
"8: [+, +][0, +][0, +]","14: [+, +][+, -][+, -]",5.0
"8: [+, +][0, +][0, +]","17: [+, +][+, +][+, +]",5.0
"9: [+, 0][+, 0][+, 0]","9: [+, 0][+, 0][+, 0]",5.0
"9: [+, 0][+, 0][+, 0]","12: [+, 0][+, -][+, -]",5.0
"9: [+, 0][+, 0][+, 0]","15: [+, 0][+, +][+, +]",5.0
"11: [+, +][+, 0][+, 0]","11: [+, +][+, 0][+, 0]",5.0
"11: [+, +][+, 0][+, 0]","14: [+, +][+, -][+, -]",5.0
"11: [+, +][+, 0][+, 0]","17: [+, +][+, +][+, +]",5.0
"12: [+, 0][+, -][+, -]","6: [+, 0][0, +][0, +]",5.0
"14: [+, +][+, -][+, -]","8: [+, +][0, +][0, +]",5.0
"15: [+, 0][+, +][+, +]","18: [+, 0][max, 0][max, 0]",5.0
"15: [+, 0][+, +][+, +]","21: [+, 0][max, -][max, -]",5.0
"15: [+, 0][+, +][+, +]","24: [+, 0][max, +][max, +]",5.0
"17: [+, +][+, +][+, +]","20: [+, +][max, 0][max, 0]",5.0
"17: [+, +][+, +][+, +]","23: [+, +][max, -][max, -]",5.0
"17: [+, +][+, +][+, +]","26: [+, +][max, +][max, +]",5.0
"18: [+, 0][max, 0][max, 0]","18: [+, 0][max, 0][max, 0]",5.0
"18: [+, 0][max, 0][max, 0]","21: [+, 0][max, -][max, -]",5.0
"18: [+, 0][max, 0][max, 0]","24: [+, 0][max, +][max, +]",5.0
"20: [+, +][max, 0][max, 0]","20: [+, +][max, 0][max, 0]",5.0
"20: [+, +][max, 0][max, 0]","23: [+, +][max, -][max, -]",5.0
"20: [+, +][max, 0][max, 0]","26: [+, +][max, +][max, +]",5.0
"21: [+, 0][max, -][max, -]","9: [+, 0][+, 0][+, 0]",5.0
"21: [+, 0][max, -][max, -]","12: [+, 0][+, -][+, -]",5.0
"21: [+, 0][max, -][max, -]","15: [+, 0][+, +][+, +]",5.0
"23: [+, +][max, -][max, -]","11: [+, +][+, 0][+, 0]",5.0
"23: [+, +][max, -][max, -]","14: [+, +][+, -][+, -]",5.0
"23: [+, +][max, -][max, -]","17: [+, +][+, +][+, +]",5.0
"24: [+, 0][max, +][max, +]","18: [+, 0][max, 0][max, 0]",5.0
"24: [+, 0][max, +][max, +]","21: [+, 0][max, -][max, -]",5.0
"24: [+, 0][max, +][max, +]","24: [+, 0][max, +][max, +]",5.0
"26: [+, +][max, +][max, +]","20: [+, +][max, 0][max, 0]",5.0
"26: [+, +][max, +][max, +]","23: [+, +][max, -][max, -]",5.0
"26: [+, +][max, +][max, +]","26: [+, +][max, +][max, +]",5.0
